Ep (Global): 605/100000 (Sesión: 10) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.7389 | Avg Score (100ep): 0.27 | Memory: 8757
Ep (Global): 615/100000 (Sesión: 20) | Steps: 16 | Score: 1 | Total Reward Ep: -46.0 | Epsilon: 0.7352 | Avg Score (100ep): 0.28 | Memory: 8941
Ep (Global): 625/100000 (Sesión: 30) | Steps: 27 | Score: 1 | Total Reward Ep: -107.0 | Epsilon: 0.7316 | Avg Score (100ep): 0.35 | Memory: 9094
Ep (Global): 635/100000 (Sesión: 40) | Steps: 12 | Score: 0 | Total Reward Ep: -62.0 | Epsilon: 0.7279 | Avg Score (100ep): 0.40 | Memory: 9261
Ep (Global): 645/100000 (Sesión: 50) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.7243 | Avg Score (100ep): 0.43 | Memory: 9411
Ep (Global): 655/100000 (Sesión: 60) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.7207 | Avg Score (100ep): 0.50 | Memory: 9571
Ep (Global): 665/100000 (Sesión: 70) | Steps: 22 | Score: 1 | Total Reward Ep: -52.0 | Epsilon: 0.7171 | Avg Score (100ep): 0.49 | Memory: 9782
Ep (Global): 675/100000 (Sesión: 80) | Steps: 13 | Score: 0 | Total Reward Ep: -63.0 | Epsilon: 0.7135 | Avg Score (100ep): 0.48 | Memory: 9971
Ep (Global): 685/100000 (Sesión: 90) | Steps: 8 | Score: 0 | Total Reward Ep: -58.0 | Epsilon: 0.7099 | Avg Score (100ep): 0.50 | Memory: 10112
Ep (Global): 695/100000 (Sesión: 100) | Steps: 16 | Score: 0 | Total Reward Ep: -66.0 | Epsilon: 0.7064 | Avg Score (100ep): 0.51 | Memory: 10334
Ep (Global): 705/100000 (Sesión: 110) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.7029 | Avg Score (100ep): 0.51 | Memory: 10503
Ep (Global): 715/100000 (Sesión: 120) | Steps: 35 | Score: 2 | Total Reward Ep: -45.0 | Epsilon: 0.6994 | Avg Score (100ep): 0.52 | Memory: 10654
Ep (Global): 725/100000 (Sesión: 130) | Steps: 15 | Score: 0 | Total Reward Ep: -65.0 | Epsilon: 0.6959 | Avg Score (100ep): 0.50 | Memory: 10782
Ep (Global): 735/100000 (Sesión: 140) | Steps: 21 | Score: 0 | Total Reward Ep: -71.0 | Epsilon: 0.6924 | Avg Score (100ep): 0.49 | Memory: 10956
Ep (Global): 745/100000 (Sesión: 150) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.6889 | Avg Score (100ep): 0.50 | Memory: 11117
