Ep: 920/10000 | Steps: 22 | Score: 1 | Total Reward: -52.0 | Epsilon: 0.6312 | Avg Score (last 100): 0.53 | Memory: 14223
Ep: 930/10000 | Steps: 7 | Score: 0 | Total Reward: -57.0 | Epsilon: 0.6281 | Avg Score (last 100): 0.48 | Memory: 14371
Ep: 940/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.6249 | Avg Score (last 100): 0.46 | Memory: 14545
Ep: 950/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.6218 | Avg Score (last 100): 0.50 | Memory: 14752
Ep: 960/10000 | Steps: 8 | Score: 0 | Total Reward: -58.0 | Epsilon: 0.6187 | Avg Score (last 100): 0.52 | Memory: 14903
Ep: 970/10000 | Steps: 18 | Score: 0 | Total Reward: -68.0 | Epsilon: 0.6156 | Avg Score (last 100): 0.48 | Memory: 15046
Ep: 980/10000 | Steps: 20 | Score: 1 | Total Reward: -50.0 | Epsilon: 0.6126 | Avg Score (last 100): 0.51 | Memory: 15185
Ep: 990/10000 | Steps: 13 | Score: 1 | Total Reward: -43.0 | Epsilon: 0.6095 | Avg Score (last 100): 0.51 | Memory: 15403
Ep: 1000/10000 | Steps: 10 | Score: 0 | Total Reward: -60.0 | Epsilon: 0.6065 | Avg Score (last 100): 0.55 | Memory: 15622
Pesos del modelo guardados en dqn_snake_headless_v4.weights.h5
Ep: 1010/10000 | Steps: 30 | Score: 2 | Total Reward: -90.0 | Epsilon: 0.6034 | Avg Score (last 100): 0.65 | Memory: 15816
Ep: 1020/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.6004 | Avg Score (last 100): 0.66 | Memory: 16057
Ep: 1030/10000 | Steps: 21 | Score: 0 | Total Reward: -71.0 | Epsilon: 0.5974 | Avg Score (last 100): 0.72 | Memory: 16283
Ep: 1040/10000 | Steps: 19 | Score: 0 | Total Reward: -69.0 | Epsilon: 0.5944 | Avg Score (last 100): 0.77 | Memory: 16459
Ep: 1050/10000 | Steps: 17 | Score: 1 | Total Reward: -47.0 | Epsilon: 0.5915 | Avg Score (last 100): 0.76 | Memory: 16659
Ep: 1060/10000 | Steps: 32 | Score: 1 | Total Reward: -12.0 | Epsilon: 0.5885 | Avg Score (last 100): 0.75 | Memory: 16881
Ep: 1070/10000 | Steps: 20 | Score: 1 | Total Reward: -50.0 | Epsilon: 0.5856 | Avg Score (last 100): 0.79 | Memory: 17099
Ep: 1080/10000 | Steps: 50 | Score: 3 | Total Reward: -40.0 | Epsilon: 0.5827 | Avg Score (last 100): 0.80 | Memory: 17323
Ep: 1090/10000 | Steps: 37 | Score: 1 | Total Reward: -67.0 | Epsilon: 0.5798 | Avg Score (last 100): 0.83 | Memory: 17597
Ep: 1100/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.5769 | Avg Score (last 100): 0.85 | Memory: 17734
Ep: 1110/10000 | Steps: 32 | Score: 1 | Total Reward: -112.0 | Epsilon: 0.5740 | Avg Score (last 100): 0.79 | Memory: 17940
Ep: 1120/10000 | Steps: 31 | Score: 1 | Total Reward: -11.0 | Epsilon: 0.5711 | Avg Score (last 100): 0.75 | Memory: 18116
